classe,survivant,nom,sexe,age,prix,embarquement

1,1,Allen, Miss. Elisabeth Walton,female,29,211.34,S
1,1,Allison, Master. Hudson Trevor,male,1,151.55,S

1,0,Allison, Miss. Helen Loraine,female,2,151.55,S

1,0,Allison, Mr. Hudson Joshua Creighton,male,30,151.55,S

1,0,Allison, Mrs. Hudson J C (Bessie Waldo Daniels),female,25,151.55,S

1,1,Anderson, Mr. Harry,male,48,26.55,S

1,1,Andrews, Miss. Kornelia Theodosia,female,63,77.96,S

1,0,Andrews, Mr. Thomas Jr,male,39,0,S

1,1,Appleton, Mrs. Edward Dale (Charlotte Lamson),female,53,51.48,S

1,0,Artagaveytia, Mr. Ramon,male,71,49.5,C

1,0,Astor, Col. John Jacob,male,47,227.53,C

1,1,Astor, Mrs. John Jacob (Madeleine Talmadge Force),female,18,227.53,C

1,1,Aubart, Mme. Leontine Pauline,female,24,69.3,C

1,1,Barber, Miss. Ellen Nellie,female,26,78.85,S

1,1,Barkworth, Mr. Algernon Henry Wilson,male,80,30,S

1,0,Baumann, Mr. John D,male,60,25.93,S

1,0,Baxter, Mr. Quigg Edmond,male,24,247.52,C

1,1,Baxter, Mrs. James (Helene DeLaudeniere Chaput),female,50,247.52,C

1,1,Bazzani, Miss. Albina,female,32,76.29,C

1,0,Beattie, Mr. Thomson,male,36,75.24,C

1,1,Beckwith, Mr. Richard Leonard,male,37,52.55,S

1,1,Beckwith, Mrs. Richard Leonard (Sallie Monypeny),female,47,52.55,S

1,1,Behr, Mr. Karl Howell,male,26,30,C

1,1,Bidois, Miss. Rosalie,female,42,227.53,C

1,1,Bird, Miss. Ellen,female,29,221.78,S

1,0,Birnbaum, Mr. Jakob,male,25,26,C

1,1,Bishop, Mr. Dickinson H,male,25,91.08,C

1,1,Bishop, Mrs. Dickinson H (Helen Walton),female,19,91.08,C

1,1,Bissette, Miss. Amelia,female,35,135.63,S

1,1,Bjornstrom-Steffansson, Mr. Mauritz Hakan,male,28,26.55,S

1,0,Blackwell, Mr. Stephen Weart,male,45,35.5,S

1,1,Blank, Mr. Henry,male,40,31,C

1,1,Bonnell, Miss. Caroline,female,30,164.87,S

1,1,Bonnell, Miss. Elizabeth,female,58,26.55,S

1,0,Borebank, Mr. John James,male,42,26.55,S

1,1,Bowen, Miss. Grace Scott,female,45,262.38,C

1,1,Bowerman, Miss. Elsie Edith,female,22,55,S

1,1,Bradley, Mr. George (George Arthur Brayton),male,37,26.55,S

1,0,Brady, Mr. John Bertram,male,41,30.5,S

1,0,Brandeis, Mr. Emil,male,48,50.5,C

1,0,Brewe, Dr. Arthur Jackson,male,45,39.6,C

1,1,Brown, Mrs. James Joseph (Margaret Tobin),female,44,27.72,C

1,1,Brown, Mrs. John Murray (Caroline Lane Lamson),female,59,51.48,S

1,1,Bucknell, Mrs. William Robert (Emma Eliza Ward),female,60,76.29,C

1,1,Burns, Miss. Elizabeth Margaret,female,41,134.5,C

1,0,Butt, Major. Archibald Willingham,male,45,26.55,S

1,0,Cairns, Mr. Alexander,male,28,31,S

1,1,Calderhead, Mr. Edward Pennington,male,42,26.29,S

1,1,Candee, Mrs. Edward (Helen Churchill Hungerford),female,53,27.45,C

1,1,Cardeza, Mr. Thomas Drake Martinez,male,36,512.33,C

